mascara,codigo,descricao,tipo_conta
1,1,ATIVO,S
1.1,2,ATIVO CIRCULANTE,S
1.1.1,3,CAIXA E EQUIVALENTES DE CAIXA,S
1.1.1.01,4,CAIXA,S
1.1.1.01.001,5,Caixa Geral,A
1.1.1.01.002,6,Fundo Fixo de Caixa,A
1.1.1.02,7,BANCOS CONTA MOVIMENTO,S
1.1.1.02.001,8,Bancos Conta Movimento,A
1.1.1.03,9,APLICAÇÕES FINANCEIRAS DE LIQUIDEZ IMEDIATA,S
1.1.1.03.001,10,Aplicações em CDB/RDB,A
1.1.1.03.002,11,Fundos de Investimento de Renda Fixa,A
1.1.2,12,CONTAS A RECEBER,S
1.1.2.01,13,CLIENTES,S
1.1.2.01.001,14,Clientes Nacionais,A
1.1.2.01.002,15,Clientes no Exterior,A
1.1.2.01.003,16,(-) Duplicatas Descontadas,A
1.1.2.01.004,17,(-) Perdas Estimadas com Créditos de Liquidação Duvidosa,A
1.1.2.02,18,OUTROS CRÉDITOS,S
1.1.2.02.001,19,Adiantamentos a Fornecedores,A
1.1.2.02.002,20,Adiantamentos de Férias,A
1.1.2.02.003,21,Adiantamentos de 13º Salário,A
1.1.2.02.004,22,Adiantamentos para Viagens,A
1.1.2.02.005,23,Outros Valores a Receber,A
1.1.3,24,ESTOQUES,S
1.1.3.01,25,PRODUTOS ACABADOS E MERCADORIAS,S
1.1.3.01.001,26,Produtos Acabados,A
1.1.3.01.002,27,Mercadorias para Revenda,A
1.1.3.02,28,PRODUTOS EM ELABORAÇÃO,S
1.1.3.02.001,29,Produtos em Elaboração,A
1.1.3.03,30,MATÉRIAS-PRIMAS E INSUMOS,S
1.1.3.03.001,31,Matérias-Primas,A
1.1.3.03.002,32,Materiais Secundários,A
1.1.3.03.003,33,Materiais de Embalagem,A
1.1.3.04,34,MATERIAIS DE USO E CONSUMO (ALMOXARIFADO),S
1.1.3.04.001,35,Materiais de Uso e Consumo,A
1.1.3.04.002,36,Peças de Reposição e Manutenção,A
1.1.3.05,37,OUTROS ESTOQUES,S
1.1.3.05.001,38,Estoques em Poder de Terceiros,A
1.1.3.05.002,39,Importações em Andamento,A
1.1.3.05.003,40,Mercadorias em Trânsito,A
1.1.3.06,41,(-) PERDAS ESTIMADAS EM ESTOQUES,S
1.1.3.06.001,42,(-) Ajuste ao Valor Realizável Líquido,A
1.1.3.06.002,43,(-) Perdas por Obsolescência,A
1.1.4,44,TRIBUTOS A RECUPERAR,S
1.1.4.01,45,TRIBUTOS A RECUPERAR,S
1.1.4.01.001,46,ICMS a Recuperar,A
1.1.4.01.002,47,ICMS s/ Ativo Imobilizado a Recuperar (CIAP),A
1.1.4.01.003,48,IPI a Recuperar,A
1.1.4.01.004,49,PIS a Recuperar,A
1.1.4.01.005,50,COFINS a Recuperar,A
1.1.4.01.006,51,PIS s/ Ativo Imobilizado a Recuperar,A
